strain	date	location	clade	host
JATV_NC_043576.1	1984	Para	Unknown	Nasua nasua
OROV/mosquito/Brazil/PA-USP-136921/1968|S|EPI_ISL_19492375|1968	1968-05-03	Para	I	Culex quinquefasciatus
hOROV/Brazil/PA-USP-543857/1996|S|EPI_ISL_19492377|1996	1996-05-07	Para	I	Human
hOROV/Brazil/PA-USP-385591/1980|S|EPI_ISL_19492378|1980	1980-08-27	Para	I	Human
hOROV/Brazil/PA-USP-29090/1961|S|EPI_ISL_19492379|1961	1961-04-07	Para	I	Human
hOROV/Brazil/PA-USP-121923/1967|S|EPI_ISL_19492381|1967	1967-06-22	Para	I	Human
hOROV/Brazil/MA-USP-421086/1993|S|EPI_ISL_19492384|1993	1993	Maranhao	I	Human
hOROV/Brazil/MA-USP-472435/1988|S|EPI_ISL_19492386|1988	1988-02-02	Maranhao	I	Human
hOROV/Brazil/PA-USP-29086/1961|S|EPI_ISL_19492387|1961	1961-04-06	Para	I	Human
hOROV/Brazil/PA-USP-532314/1994|S|EPI_ISL_19492390|1994	1994-12-27	Para	I	Human
hOROV/Brazil/PA-USP-532490/1994|S|EPI_ISL_19492391|1994	1994-12-27	Para	I	Human
hOROV/Brazil/PA-USP-532500/1994|S|EPI_ISL_19492392|1994	1994-12-28	Para	I	Human
hOROV/Brazil/PA-USP-543629/1996|S|EPI_ISL_19492395|1996	1996-04-30	Para	I	Human
hOROV/Brazil/PA-USP-543760/1996|S|EPI_ISL_19492396|1996	1996-05	Para	I	Human
hOROV/Brazil/un-USP-669314/2003|S|EPI_ISL_19492397|2003	2003-09-29	Brazil	I	Human
hOROV/Brazil/un-USP-669315/2003|S|EPI_ISL_19492398|2003	2003-07	Brazil	I	Human
hOROV/Brazil/PA-USP-532422/1994|S|EPI_ISL_19492402|1994	1994-12-27	Para	I	Human
hOROV/Haiti/UF-01/2014|S|EPI_ISL_19492031|2014-05-26	2014-05-26	Haiti	I	Human
hOROV/Panama/IEC-480914/1989|S|EPI_ISL_19492415|1989	1989	Panama	I	Human
hOROV/Panama/IEC-481126/1999|S|EPI_ISL_19492419|1999-10	1999-10-01	Panama	I	Human
hOROV/Trinidad_and_Tobago/JCVI-9760/1955|S|EPI_ISL_19492168|1955	1955	Trinidad and Tobago	I	Human
hOROV/un/Trinidad_And_Tobago/UMG-TRVL9760/1955|S|EPI_ISL_19492306|1955	1955	Trinidad and Tobago	I	Human
OROV/mosquito/Brazil/PA-USP-19886/1960|S|EPI_ISL_19492368|1960	1960-05-17	Para	I	Ochlerotatus serratus
OROV/sloth/Brazil/PA-USP-BeAn19991_a/1960|S|EPI_ISL_19492144|1960	1960	Para	I	Sloth
OROV/sloth/Brazil/PA-USP-BeAn19991_b/1960|S|EPI_ISL_19492145|1960	1960	Para	I	Sloth
OROV/sloth/Brazil/PA-UG-BeAn19991/1960|S|EPI_ISL_19492363|1960	1960	Para	I	Sloth
OROV/pale-throated_sloth/Brazil/PA-USP-206119/1971|S|EPI_ISL_19492369|1971	1971-08-02	Para	I	Sloth
OROV/sloth/Brazil/PA-USP-208402/1971|S|EPI_ISL_19492370|1971	1971-09-01	Para	I	Sloth
OROV/sloth/Brazil/PA-USP-208819/1971|S|EPI_ISL_19492371|1971	1971-09-13	Para	I	Sloth
hOROV/Brazil/PA-USP-708717/2006|S|EPI_ISL_19492373|2006	2006	Para	II	Callithrix
OROV/midge/Brazil/PA-USP-366927/1979|S|EPI_ISL_19492372|1979	1979-06-01	Para	II	Culicoides paraensis
